ticker,date,pos,neg,unc,ceo_ratio,analyst_ratio,net_sentiment,sector,Adj Close,returns_market,rolling_corr_net_sent,recommendation_mean
CHTR,2013-03-06 20:51:39,0.064,0.016,0.0053,0.5,0.5,0.048,Communication Services,89.9800033569336,0.027051737587843405,-0.39680263574868346,3.0
CHTR,2013-04-25 16:21:33,0.0479,0.0082,0.0035,0.1764705882352941,0.7058823529411765,0.0397,Communication Services,101.11000061035156,-0.01882583584623343,-0.7871680637149577,3.0
CHTR,2013-05-07 18:31:26,0.0282,0.0113,0.0169,0.1875,0.75,0.0169,Communication Services,109.69000244140625,0.044368311113681,-0.37978869506554375,3.0
CHTR,2013-05-16 22:11:08,0.024,0.0088,0.005,0.6666666666666666,0.0,0.0152,Communication Services,113.61000061035156,-0.008032813924307991,-0.10696760256073079,3.0
CHTR,2013-08-01 17:51:13,0.0306,0.0098,0.0061,0.1875,0.75,0.0208,Communication Services,127.95999908447266,0.017655489569105454,-0.5931163437561185,3.0
CHTR,2013-08-06 18:21:12,0.0385,0.0136,0.0113,0.25,0.75,0.0249,Communication Services,127.05000305175781,-0.023818601537485717,-0.47669396347526577,3.0
CHTR,2013-10-31 17:21:10,0.0271,0.0244,0.0081,0.2727272727272727,0.5454545454545454,0.0026999999999999975,Communication Services,134.0399932861328,-0.0072582651112240715,-0.05322060946774409,3.0
CHTR,2013-11-05 19:31:24,0.0189,0.0067,0.0145,0.2,0.7333333333333333,0.012199999999999999,Communication Services,131.05999755859375,-0.034691069939242425,0.08953583648818729,3.0
CHTR,2014-01-30 18:31:19,0.0303,0.0117,0.0047,0.2,0.6,0.0186,Communication Services,138.77000427246094,0.0038339030543736996,-0.124017284550773,3.0
CHTR,2014-02-22 01:01:10,0.0368,0.0089,0.0134,0.2,0.7333333333333333,0.0279,Communication Services,,,,3.0
CHTR,2014-04-24 18:05:08,0.0681,0.015,0.0035,0.0666666666666666,0.0666666666666666,0.053099999999999994,Communication Services,130.49000549316406,0.018657293331564073,,3.0
CHTR,2014-04-28 18:37:12,0.037,0.0116,0.0116,0.0833333333333333,0.3333333333333333,0.0254,Communication Services,140.0500030517578,0.07722489784732645,,3.0
CHTR,2014-07-31 15:11:14,0.0473,0.0154,0.0059,0.1666666666666666,0.5833333333333334,0.0319,Communication Services,154.52000427246094,-0.04481671390568298,,3.0
CHTR,2014-07-31 18:11:18,0.0309,0.0066,0.0155,0.2,0.6666666666666666,0.024300000000000002,Communication Services,154.52000427246094,-0.04481671390568298,0.0947830030673499,3.0
CHTR,2014-10-30 17:31:23,0.0476,0.017,0.0068,0.1111111111111111,0.6666666666666666,0.030600000000000002,Communication Services,154.39999389648438,0.0044888891580208146,-0.30377477613506504,3.0
CHTR,2014-10-31 17:41:18,0.0483,0.0071,0.0118,0.25,0.5833333333333334,0.0412,Communication Services,158.38999938964844,0.025842005510952948,0.7776952172014894,3.0
CHTR,2015-01-29 19:10:08,0.0334,0.0178,0.0045,0.0526315789473684,0.1052631578947368,0.0156,Communication Services,152.08999633789062,0.00989369305437382,0.40127915245943424,3.0
CHTR,2015-02-05 17:31:19,0.0271,0.0056,0.0113,0.2307692307692307,0.6153846153846154,0.0215,Communication Services,174.3000030517578,0.06808015469171047,-0.13307663807858275,3.0
CHTR,2015-04-30 18:32:05,0.0493,0.0132,0.0072,0.1875,0.0,0.03609999999999999,Communication Services,187.05999755859375,-0.006585265390692707,-0.2902494852738235,3.0
CHTR,2015-05-01 19:36:15,0.0358,0.0161,0.015,0.2142857142857142,0.0714285714285714,0.0197,Communication Services,187.44000244140625,0.002031459894002552,-0.31425547669742115,3.0
